,movie_code,duration,facenumber_in_poster,country,budget,gross,num_voted_users,num_user_for_reviews,num_critic_for_reviews,movie_facebook_likes,director_facebook_likes,actor_1_facebook_likes,actor_2_facebook_likes,actor_3_facebook_likes,cast_total_facebook_likes,imdb_score,imdb_score_class
568,569,153.0,1.0,USA,75000000.0,51814190.0,100837,301.0,230.0,0,0.0,11000.0,561.0,130.0,11852,6.4,Good
1910,1911,158.0,0.0,USA,25000000.0,40218903.0,372990,1107.0,398.0,16000,0.0,272.0,111.0,104.0,533,8.1,Excellent
2057,2058,126.0,1.0,USA,23000000.0,25556065.0,355126,748.0,574.0,148000,0.0,19000.0,128.0,105.0,19359,8.0,Good
2505,2506,105.0,0.0,USA,,21160089.0,8522,92.0,54.0,874,49.0,680.0,503.0,104.0,1538,6.0,Fair
4860,4861,76.0,1.0,Australia,250000.0,212285.0,1727,21.0,21.0,46,0.0,991.0,575.0,62.0,1661,6.4,Good
2407,2408,89.0,0.0,USA,20000000.0,43818159.0,27664,260.0,146.0,1000,29.0,2000.0,690.0,458.0,4867,3.9,Bad
4919,4920,94.0,1.0,USA,200000.0,,15,3.0,3.0,66,0.0,433.0,375.0,178.0,1112,8.1,Excellent
4484,4485,103.0,0.0,USA,1200000.0,55153403.0,299127,1509.0,287.0,0,0.0,2000.0,878.0,651.0,5161,7.7,Good
322,323,88.0,0.0,USA,99000000.0,130174897.0,27918,155.0,208.0,33000,20.0,144.0,42.0,36.0,309,7.2,Good
2486,2487,170.0,1.0,USA,17000000.0,72000000.0,66959,258.0,82.0,0,165.0,453.0,272.0,244.0,1164,7.9,Good
4159,4160,144.0,0.0,India,120000000.0,,27569,106.0,15.0,349,124.0,464.0,426.0,327.0,1761,8.2,Excellent
1728,1729,110.0,4.0,France,24000000.0,,3279,22.0,7.0,0,18.0,922.0,919.0,432.0,2725,2.0,Bad
1094,1095,95.0,0.0,USA,120000000.0,162792677.0,211226,317.0,117.0,0,487.0,18000.0,1000.0,1000.0,24205,7.2,Good
4968,4969,106.0,1.0,USA,,,544,19.0,14.0,65,6.0,440.0,98.0,13.0,564,6.8,Good
3511,3512,91.0,2.0,USA,7000000.0,7455447.0,29967,126.0,223.0,0,157.0,490.0,259.0,224.0,1136,6.3,Good
2596,2597,93.0,0.0,USA,15500000.0,1181197.0,3299,24.0,40.0,191,7.0,1000.0,1000.0,922.0,4329,5.9,Fair
1344,1345,120.0,1.0,USA,38000000.0,58700247.0,95367,260.0,279.0,33000,508.0,21000.0,11000.0,1000.0,36062,6.9,Good
3343,3344,128.0,2.0,India,12000000.0,4018695.0,69759,235.0,210.0,27000,160.0,8000.0,327.0,81.0,8532,8.0,Good
4360,4361,93.0,0.0,USA,1800000.0,12784397.0,70336,269.0,663.0,31000,188.0,2000.0,458.0,168.0,2658,7.3,Good
849,850,123.0,0.0,USA,53000000.0,91400000.0,81026,194.0,82.0,0,12000.0,18000.0,10000.0,665.0,30132,7.3,Good
4010,4011,91.0,3.0,USA,3500000.0,96793.0,12188,135.0,50.0,1000,23.0,4000.0,756.0,660.0,6380,5.3,Fair
3324,3325,90.0,2.0,UK,8800000.0,,9296,57.0,33.0,458,3.0,1000.0,900.0,327.0,2310,6.1,Good
3020,3021,100.0,2.0,UK,11500000.0,,3737,27.0,35.0,443,2.0,680.0,544.0,388.0,1780,6.0,Fair
4853,4854,90.0,2.0,USA,290000.0,,30,,,16,2.0,466.0,216.0,99.0,842,4.3,Fair
228,229,109.0,0.0,USA,115000000.0,93050117.0,338087,814.0,476.0,61000,662.0,13000.0,2000.0,1000.0,17689,6.6,Good
2663,2664,119.0,3.0,UK,15000000.0,23089926.0,166269,735.0,278.0,0,11000.0,19000.0,567.0,400.0,20391,7.7,Good
650,651,103.0,0.0,USA,59000000.0,176387405.0,328159,467.0,193.0,3000,77.0,1000.0,939.0,835.0,5437,7.6,Good
2529,2530,83.0,1.0,USA,17000000.0,4930798.0,16268,108.0,145.0,0,57.0,465.0,152.0,62.0,730,4.1,Fair
2359,2360,103.0,0.0,USA,15000000.0,103001286.0,222018,869.0,242.0,11000,0.0,611.0,422.0,157.0,1212,7.2,Good
5000,5001,117.0,0.0,USA,,321952.0,12611,113.0,71.0,0,17000.0,725.0,572.0,476.0,2783,8.2,Excellent
3044,3045,145.0,2.0,USA,11000000.0,,5561,35.0,20.0,745,278.0,13000.0,595.0,279.0,14735,6.4,Good
1873,1874,185.0,0.0,USA,22000000.0,96067179.0,865020,1273.0,174.0,41000,14000.0,14000.0,795.0,212.0,15233,8.9,Excellent
4908,4909,84.0,0.0,USA,,140016.0,3507,40.0,93.0,443,157.0,962.0,873.0,98.0,2016,6.0,Fair
3121,3122,101.0,0.0,USA,10000000.0,29500000.0,25613,121.0,78.0,0,287.0,745.0,730.0,257.0,1954,6.5,Good
1224,1225,106.0,2.0,USA,40000000.0,59068786.0,86902,411.0,131.0,0,212.0,578.0,563.0,389.0,2544,6.4,Good
2311,2312,116.0,2.0,USA,20000000.0,6002756.0,24997,75.0,116.0,13000,150.0,18000.0,1000.0,956.0,21200,7.2,Good
1103,1104,117.0,0.0,USA,40000000.0,46280507.0,87165,184.0,173.0,12000,153.0,35000.0,11000.0,734.0,49743,6.5,Good
616,617,136.0,7.0,USA,75000000.0,38509342.0,61995,356.0,360.0,33000,163.0,394.0,217.0,66.0,712,5.9,Fair
157,158,154.0,1.0,USA,140000000.0,111110575.0,317166,928.0,190.0,0,380.0,10000.0,956.0,445.0,11945,7.7,Good
11,12,106.0,1.0,UK,200000000.0,168368427.0,330784,1243.0,403.0,0,395.0,451.0,412.0,393.0,2023,6.7,Good
838,839,84.0,1.0,USA,55000000.0,141600000.0,119675,216.0,92.0,0,12.0,23000.0,2000.0,752.0,26754,6.6,Good
3826,3827,98.0,0.0,UK,,238774.0,9611,70.0,64.0,864,16.0,10000.0,838.0,621.0,11703,6.8,Good
3025,3026,200.0,2.0,USA,11000000.0,111722000.0,55816,255.0,89.0,7000,767.0,597.0,396.0,382.0,1966,8.0,Good
