,distance,consume,speed,temp_inside,temp_outside,specials,AC,rain,sun,refill liters
0,28,5.0,26.0,21.5,12.0,7,0,0,0,45.0
1,12,4.2,30.0,21.5,13.0,7,0,0,0,0.33432
2,11,2.0,5.5,38.0,21.5,7,E10,0,0,0.0
3,12,9.0,3.9,36.0,21.5,7,E10,0,0,0.0
4,18,5.0,4.5,46.0,21.5,7,E10,0,0,0.0
5,8,3.0,6.4,50.0,21.5,7,E10,0,0,0.0
6,7,8.0,4.4,43.0,21.5,7,E10,0,0,0.0
7,12,3.0,5.0,40.0,21.5,7,E10,0,0,0.0
8,4,9.0,6.4,26.0,21.5,7,E10,0,0,0.0
9,11,9.0,5.3,30.0,21.5,7,E10,0,0,0.0
10,12,4.0,5.6,42.0,21.5,7,E10,0,0,0.0
11,11,8.0,4.6,38.0,21.5,7,E10,0,0,0.0
12,12,3.0,5.9,59.0,21.5,7,E10,0,0,0.0
13,24,7.0,5.1,58.0,21.5,7,E10,0,0,0.0
14,12,4.0,4.7,46.0,21.5,7,E10,0,0,0.0
15,17,3.0,5.1,24.0,21.5,7,E10,0,0,0.0
16,33,4.0,5.6,36.0,21.5,7,E10,0,0,0.0
17,11,8.0,5.1,32.0,21.5,7,E10,0,0,0.0
18,25,9.0,4.9,39.0,21.5,7,E10,0,0,0.0
19,11,8.0,4.7,40.0,21.5,7,E10,0,0,0.0
20,25,3.0,5.5,32.0,21.5,7,E10,0,0,0.0
21,14,2.0,5.9,38.0,21.5,7,E10,0,0,0.0
22,17,9.0,5.7,37.0,21.5,7,E10,0,0,0.0
23,11,8.0,4.7,36.0,21.5,7,E10,0,0,0.0
24,12,3.0,5.9,62.0,21.5,7,E10,0,0,0.0
25,12,4.0,4.1,57.0,21.5,7,E10,0,0,0.0
26,18,4.0,5.7,21.0,22.5,7,E10,0,0,0.0
27,18,4.0,5.8,28.0,21.5,7,E10,0,0,0.0
28,18,3.0,5.5,29.0,21.5,7,E10,0,0,0.0
29,18,4.0,5.7,35.0,21.5,7,E10,0,0,0.0
30,12,3.0,5.3,51.0,21.5,7,E10,0,0,0.0
31,11,8.0,5.0,29.0,21.5,7,E10,0,0,0.0
32,12,3.0,5.6,58.0,21.5,7,E10,0,0,0.0
33,32,6.0,4.8,40.0,21.5,7,E10,0,0,0.0
34,19,4.3,36.0,21.5,7.0,7,0,0,0,0.33432
35,12,1.0,5.7,36.0,21.5,7,E10,0,0,0.0
36,20,5.2,37.0,21.5,4.0,7,0,0,0,0.33432
37,4,9.0,7.4,26.0,21.5,7,E10,0,0,0.0
38,11,8.0,4.8,23.0,21.5,7,E10,0,0,0.0
39,12,3.0,6.5,58.0,21.5,7,E10,0,0,0.0
40,12,4.0,4.0,55.0,21.5,7,E10,1,1,0.0
41,4,5.0,5.0,29.0,21.5,7,E10,1,0,0.0
42,11,7.0,4.6,37.0,21.5,7,E10,0,0,0.0
43,10,2.0,4.3,44.0,21.5,7,E10,0,0,0.0
44,5,4.0,3.3,32.0,21.5,7,SP98,0,0,0.0
45,2,9.9,21.0,21.5,4.0,7,0,0,0,0.33432
46,14,2.0,5.1,32.0,21.5,7,SP98,0,0,0.0
47,16,4.9,25.0,21.5,8.0,7,0,0,0,0.33432
48,11,8.0,4.9,25.0,21.5,7,SP98,0,0,0.0
49,27,3.0,4.7,36.0,21.5,7,SP98,0,0,0.0
