station;NMHC;NO;NO2;NOx;O3;PH_RAIN;PM10;PM2.5;RAINFALL;RAIN_COND;RH;SO2;THC;UVB;WD_HR;WIND_DIREC;WIND_SPEED;WS_HR;
0:00;0,054861111;0:14;1:02;16;17;37;NR;177;78x;NR;NR;57;12;2:02;0;69;69;4:07;4:02
1:00;0:08;0:15;1:03;16;17;36;NR;178;77x;NR;NR;57;11;2:02;0;67;65;4;4
2:00;0,049305556;0:13;1;13;14;38;NR;163;72x;NR;NR;57;8;2:02;0;63;53;3:07;3:05
3:00;0,045833333;0:12;0:08;11;12;39;NR;147;65x;NR;NR;58;6:05;2:02;0;63;63;4:01;3:03
4:00;0:53;0:11;0:06;10;11;38;NR;131;56x;NR;NR;58;5:05;2:01;0;69;67;3;3:01
5:00;0:05;0:11;0:08;11;12;37;NR;112;46x;NR;NR;57;5:07;2:01;0;68;62;2:09;3:03
6:00;0:57;0:14;1:04;18;19;29;NR;103;45x;NR;NR;57;5:08;2:01;0;74;70;3:06;2:02
7:00;0,042361111;0:14;2:03;17;20;27;NR;104;42x;NR;NR;56;6:05;2:02;0:02;66;72;3:01;3
8:00;0:59;0:13;2:09;15;18;29;NR;111;45x;NR;NR;53;6:08;2:01;0:07;71;73;2:08;3:03
9:00;0:06;0:14;4:01;16;20;29;NR;111;46x;NR;NR;50;5:09;2:01;1:06;73;68;3:06;3:02
10:00;0:55;0:13;4:02;14;18;35;NR;100;41x;NR;NR;47;5:02;2:01;3;69;68;4:03;3:05
11:00;0:51;0:11;3:08;13;17;39;NR;92;38x;NR;NR;45;4:05;2:01;3:06;73;84;3;3:05
12:00;0:47;0:11;4:02;12;16;41;NR;83;36x;NR;NR;44;3:07;2:01;4:01;71;67;4:09;3:03
13:00;0:42;0:09;2:09;10;13;43;NR;76;31x;NR;NR;46;3:03;2:01;3:02;67;69;4:03;3:09
14:00;0:41;0:01;3;12;15;39;NR;73;25x;NR;NR;49;3;2;1:06;69;67;3:09;3:06
15:00;0:42;0:01;2:04;13;16;36;NR;66;25x;NR;NR;52;3;2;0:06;71;73;3:05;3:04
16:00;0:45;0:11;1:08;14;16;33;NR;61;24x;NR;NR;53;3:02;2:01;0:01;68;69;3:02;3:05
17:00;0:46;0:12;2;16;18;31;NR;57;20x;NR;NR;53;3;2:01;0;68;70;3:09;3:05
18:00;0:45;0:13;2:05;18;20;29;NR;50;22x;NR;NR;53;3:02;2:01;0;73;85;1:09;2:08
19:00;0:48;0:15;2:08;21;24;24;NR;45;20x;NR;NR;55;3:03;2:01;0;84;95;1:07;1:07
20:00;0:52;0:16;3:03;23;27;20;NR;45;19x;NR;NR;56;2:04;2:01;0;88;84;1:07;1:03
21:00;0:43;0:13;3:02;19;23;22;NR;43;19x;NR;NR;57;2:03;2:01;0;81;84;2:01;1:08
22:00;0:04;0:12;2:07;17;20;23;NR;40;17x;NR;NR;58;2:02;2:01;0;79;69;2:03;1:05
23:00;0:35;0:11;1:06;14;15;26;NR;42;14x;NR;NR;59;2:02;2:01;0;71;79;1:03;1:04
0:00;0:03;0:09;1;9:08;11;31;NR;42;12x;NR;NR;58;1:06;2:01;0;70;72;2:03;1:07
1:00;0:26;0:07;0:09;7:04;8:03;35;NR;38;12x;NR;NR;58;1:05;2;0;79;79;2;1:06
2:00;0:24;0:06;0:09;6;6:09;36;NR;35;17x;NR;NR;59;1:06;2;0;79;72;2:02;1:08
3:00;0:23;0:06;0:05;5;5:05;37;NR;37;21x;NR;NR;61;1:06;2;0;63;63;3:01;2:06
4:00;0:25;0:07;0:05;6:01;6:05;35;NR;37;20x;NR;NR;60;1:07;2:01;0;66;67;1:09;2:03
5:00;0:29;0:09;1;8:08;9:08;31;NR;37;18x;NR;NR;59;1:05;2:01;0;81;104;1:02;1:07
6:00;0:31;0:01;1:07;14;16;25;NR;39;19x;NR;NR;60;1:05;2:01;0;77;76;1:05;1:02
7:00;0:46;0:16;3:09;19;23;20;NR;43;21x;NR;NR;59;1:06;2:01;0:02;75;75;1:08;1:05
8:00;0:41;0:13;5:07;17;22;24;NR;46;19x;NR;NR;56;1:06;2:01;1;82;83;2:04;1:09
9:00;0:37;0:12;6:03;13;19;28;NR;46;15x;NR;NR;55;1:06;2:01;2:03;77;74;2:08;2:06
10:00;0:33;0:11;4:05;9:02;14;33;NR;48;20x;NR;NR;59;1:05;2;3:06;69;69;3:09;3:09
